name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Dior Homme Intense 2011 Dior (male) ~ 2011,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html,2512,1119,2011,1,3631,1393,1.0,0.6918204351418342,1.0,1142.0,0.6883505715841045
Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-25967.html,2017,1035,2014,2,3052,982,0.718300205620288,0.6608781127129751,2.0,1141.0,0.65718901453958
Terre d'Hermès Hermès (male) ~ 2006,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html,1841,1098,2006,3,2939,743,0.5544893762851268,0.6264035386185778,3.0,1140.0,0.6230717639168344
Layton Parfums de Marly (unisex) ~ 2016,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html,1639,945,2016,4,2584,694,0.520904729266621,0.6342879256965944,4.0,1139.0,0.6303768557289684
Sauvage Elixir Dior (male) ~ 2021,https://www.fragrantica.com/perfume/Dior/Sauvage-Elixir-68415.html,1823,1335,2021,5,3158,488,0.37971213159698425,0.5772640911969601,5.0,1138.0,0.5748203686348016
Le Male Le Parfum Jean Paul Gaultier (male) ~ 2020,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html,1615,919,2020,6,2534,696,0.5222755311857437,0.6373322809786898,6.0,1137.0,0.6332945285215367
Dior Homme Parfum Dior (male) ~ 2014,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Parfum-27417.html,1568,933,2014,7,2501,635,0.48046607265250174,0.6269492203118753,7.0,1136.0,0.6230345911949685
Spicebomb Extreme Viktor&Rolf (male) ~ 2015,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Extreme-30499.html,1484,860,2015,8,2344,624,0.4729266620973269,0.6331058020477816,8.0,1135.0,0.6288227901131127
Aventus Creed (male) ~ 2010,https://www.fragrantica.com/perfume/Creed/Aventus-9828.html,1628,1182,2010,9,2810,446,0.35092529129540784,0.5793594306049822,9.0,1134.0,0.5765860497721697
Acqua di Giò Profumo Giorgio Armani (male) ~ 2015,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html,1362,754,2015,10,2116,608,0.46196024674434544,0.6436672967863895,10.0,1133.0,0.6387216303844372
